Name,Price,Link-For-Product,Size-Of-Product
"Checkered Shirt with Flap Pockets [S,M,L]","₨1,740.00",http://fmjclothing.jhapto.com/product/checkered-shirt-with-flap-pockets/,"S,M,L"
"COTTON – PINK – FMTS21-31442 [S,M,L]","₨1,743.00",http://fmjclothing.jhapto.com/product/cotton-pink-fmts21-31442/,"S,M,L"
"FMTS21-31427 – GREY [S,M,L]","₨1,533.00",http://fmjclothing.jhapto.com/product/fmts21-31427-grey/,"S,M,L"
"FMTS21-31455 – WHITE [S,M,L]","₨2,023.00",http://fmjclothing.jhapto.com/product/fmts21-31455-white/,"S,M,L"
"Graffiti Print Shacket [S,M,L]","₨1,740.00",http://fmjclothing.jhapto.com/product/graffiti-print-shacket/,"S,M,L"
"Reclaimed Vintage Shacket [S,M,L]","₨1,740.00",http://fmjclothing.jhapto.com/product/reclaimed-vintage-shacket/,"S,M,L"
"Regular Fit Checkered Shirt [S,M,L]","₨1,740.00",http://fmjclothing.jhapto.com/product/regular-fit-checkered-shirt/,"S,M,L"
"Skateboard Print Shirt [S,M,L]","₨1,740.00",http://fmjclothing.jhapto.com/product/skateboard-print-shirt/,"S,M,L"
