Name,Price,Link-For-Product
"<h2 class=""woocommerce-loop-product__title"">Blackish Red</h2>",£40.00 £35.00,http://fmjclothing.jhapto.com/product/blackish-red/
"<h2 class=""woocommerce-loop-product__title"">Cream Rounded Bottom</h2>",£65.00 £40.00,http://fmjclothing.jhapto.com/product/cream-rounded-bottom/
"<h2 class=""woocommerce-loop-product__title"">Embroidery Offwhite</h2>",£70.00 £40.00,http://fmjclothing.jhapto.com/product/embroidery-offwhite/
"<h2 class=""woocommerce-loop-product__title"">Grey Ash</h2>",£82.00 £65.00,http://fmjclothing.jhapto.com/product/grey-ash/
"<h2 class=""woocommerce-loop-product__title"">Long Brown</h2>",£45.00 £35.00,http://fmjclothing.jhapto.com/product/long-brown/
