Name,Price,Link-For-Product
"<h2 class=""woocommerce-loop-product__title"">3 PCs Digital Neck Embroidered Lawn Suit With Chiffon Dupatta (Unstitched) (DRL-734)</h2>",£120.00 £90.00,http://fmjclothing.jhapto.com/product/3-pcs-digital-neck-embroidered-lawn-suit-with-chiffon-dupatta-unstitched-drl-734/
"<h2 class=""woocommerce-loop-product__title"">3 PCs Digital Neck Embroidered Lawn Suit With Chiffon Dupatta (Unstitched) (DRL-735)</h2>",£95.00 £78.00,http://fmjclothing.jhapto.com/product/3-pcs-digital-neck-embroidered-lawn-suit-with-chiffon-dupatta-unstitched-drl-735/
"<h2 class=""woocommerce-loop-product__title"">Black Mirror Work Organza Suit With Organza Dupatta (CHI-442)</h2>",£130.00 £100.00,http://fmjclothing.jhapto.com/product/black-mirror-work-organza-suit-with-organza-dupatta-chi-442/
"<h2 class=""woocommerce-loop-product__title"">Heavy Embroidered Lawn Suit 2021 with Chiffon Dupatta (DRL-724)</h2>",£160.00 £110.00,http://fmjclothing.jhapto.com/product/heavy-embroidered-lawn-suit-2021-with-chiffon-dupatta-drl-724/
"<h2 class=""woocommerce-loop-product__title"">Latest Lawn Heavy Embroidered Suit Emb Trouser (Unstitched) (DRL-739)</h2>",£120.00 £90.00,http://fmjclothing.jhapto.com/product/latest-lawn-heavy-embroidered-suit-emb-trouser-unstitched-drl-739/
